Item code,Item Description,UOM,Bin Location,
0000-14-39X-7,Anastrozole 1mg Tablet,EA,1A-1-1,
0004-28-346-H,DULoxetine HCl 60mg Capsule (Cymbalta),EA,1A-1-2,
0004-28-152-I,Phentermine 15mg Capsule,EA,1A-1-3,
0004-52-001-I,Acetazolamide 250mg Tablet,EA,1A-1-4,
0000-12-81X-0,Acarbose 50mg Tablet,EA,1A-2-5,
0004-28-011-E,Carbamazepine 200mg Tablet,EA,1A-2-6,
0004-24-100-D,"Atenolol 50mg,NiFEdipine 20mg SR Capsule",EA,1A-2-7,
0004-24-055-E,DilTIAZem HCl 30mg Tablet,EA,1A-2-8,
0004-12-010-J,Baclofen 10mg Tablet,EA,1A-3-09,
0004-88-018-J,CalciTRiol 0.25mcg Capsule,EA,1A-3-10,
0004-08-066-C,CefUROxime Axetil 250mg Tablet,EA,1A-3-11,
0004-28-285-L,"Levodopa 100mg, Benserazide 25mg Capsule (MAdopar)",EA,1A-3-12,
0004-28-419-G,Celecoxib 200mg Capsule,EA,1A-4-13,
0004-56-010-J,Loperamide 2mg Tablet,EA,1A-4-14,
0004-28-353-J,HydrOXYzine 25mg Capsule/Tablet,EA,1A-4-15,
0000-21-15X-9,Etoricoxib 120mg Tablet,TAB,1A-4-16,
0007-52-025-G,Benzydamine HCl 0.15% Solution 200mL,BTL,1A-5-17 to 18,
0015-28-006-E,Sodium Valproate 200mg/5mL Syrup,BTL,1A-5-19 to 20,
0013-84-178-G,Povidone Iodine 10% In Aq Soln 100ml,BTL,1A-6-21,
0005-84-398-I,"Betamethasone Dipropionate 0.05%, Gentamicin 0.1% Cream 15g",EA,1A-6-22,
0015-56-080-J,Sodium Picosulfate Oral Powder 16g (Picoprep),EA,1A-6-23,
0005-84-319-I,"White Soft, Liquid Paraffin (3:2) 100g",EA,1A-6-24,
0004-28-119-G,Nortriptyline HCl 25mg Capsule,EA,1B-1-29,
0005-12-007-C,Nicotine 15mg/16hr Patch (Nicorette),EA,1B-1-30,
0004-08-172-D,Amantadine HCl 100mg Capsule,EA,1B-1-31,
0004-12-029-K,Bethanechol Chloride 10mg Tablet,EA,1B-1-32,
0004-88-021-J,Alfacalcidol 0.25mcg Capsule/Tablet,EA,1B-2-33,
0004-10-089-W,Bicalutamide 50mg Tablet,EA,1B-2-34,
0004-92-123-C,Folinic Acid 15mg Tablet,EA,1B-2-35,
0004-92-008-D,Bromocriptine Mesylate 2.5mg Tablet,EA,1B-2-36,
0004-08-161-I,Clindamycin HCl 150mg Capsule,EA,1B-3-37,
0004-24-152-G,Co-Diovan 80/12.5mg Tablet,EA,1B-3-38,
0004-56-008-H,"Diphenoxylate 2.5mg, Atropine Sulfate Tablet",EA,1B-3-39,
0000-20-30X-3,Dutasteride 0.5mg Cap,EA,1B-3-40,
0004-04-035-L,"Fexofenadine, Pseudoephedrine Tablet (Telfast-D)",EA,1B-4-41,
0004-24-076-H,Atenolol 100mg Tablet,EA,1B-4-42,
0004-92-002-E,Colchicine 500mcg Tablet,EA,1B-4-43,
0000-20-50X-7,Entecavir 0.5mg Tab,EA,1B-4-44,
0004-28-328-H,TraMADol HCl 50mg Tablet,EA,1B-5-45,
0005-84-082-C,Tetracycline HCl 3% Ointment 15g,EA,1B-5-46,
0000-67-20X-4,LeveTIRAcetam 100mg/mL Solution 300mL,BTL,1B-5-47 to 48,
0001-12-052-W,Spiolto Respimat 2.5/2.5mcg 60D,PK,1B-6-49,
0015-40-084-W,Dextrose Monohydrate 15g,EA,1B-6-50,
0020-56-017-H,Sodium Phosphate Enema Paed 59mL (Fleet),EA,1B-6-51,
0013-84-044-F,Acne Lotion 100mL,BTL,1B-6-52,
0004-24-255-W,Labetalol 100mg Tablet,EA,1C-1-57,
0004-86-028-G,Mirabegron 25mg Tablet,TAB,1C-1-58,
0004-24-382-L,Telmisartan 40mg Tablet,EA,1C-1-59,
0000-32-45X-7,Solifenacin Succinate 5mg Tab,EA,1C-1-60,
0004-28-015-H,DiazePAM 2mg Tablet,EA,1D-1-69,
0004-40-029-C,Calcium Carbonate (Chewable) 1.25g Tablet,EA,1D-1-70,
0004-28-020-D,Haloperidol 0.5mg Tablet,EA,1D-1-71,
0004-08-089-W,Fluconazole 50mg Capsule,EA,1D-1-72,
0004-24-221-C,Ezetimibe 10mg Tablet,EA,1D-2-73,
0004-44-009-C,"Creon 10,000 Capsule",EA,1D-2-74,
0004-10-111-E,Exemestane 25mg Tablet,EA,1D-2-75,
0004-28-227-D,Bupropion 150mg SR Tablet,EA,1D-2-76,
0004-28-329-G,Gabapentin 300mg Capsule,EA,1D-3-77,
0000-22-58X-3,GliCLAzide 60mg MR Tablet ,EA,1D-3-78,
0004-08-194-I,Tenofovir Disoproxil 300mg Tablet (Viread),EA,1D-3-79,
0004-12-004-E,"Caffeine 100mg, Ergotamine Tartrate 1mg Tablet",EA,1D-3-80,
0004-68-063-F,HYDrocortisone 10mg Tablet,EA,1D-4-81,
0004-24-118-G,Isosorbide MONOnitrate SR 60mg Tablet,EA,1D-4-82,
0004-68-183-E,Dapagliflozin 10mg Tablet (Forxiga),EA,1D-4-83,
0004-08-007-H,Cloxacillin Sod 250mg Capsule,EA,1D-4-84,
0005-84-173-K,Ketoprofen 2.5% Gel 30g,EA,1D-5-85,
0010-40-024-K,Potassium Dihydrogen Phosphates 10mmol/10mL Inj,EA,1D-5-86,
0524-92-23X-6,Morphine Sulfate 5mg/5ml Mixt 100mL,BTL,1D-5-87,
8551-09-67X-5,Co-Amoxiclav 642.9mg/5mL Suspension,BTL,1D-5-88,
0003-87-44X-1,Cough-en Linctus 90ml/120ml,BTL,1D-6-89,
0001-68-009-K,Budesonide 1mg/2ml Respule (PULMICORT),PK,1D-6-90,
0005-84-136-F,Aqueous Cream 100g,EA,1D-6-91,
0005-84-205-W,Imiquimod 5% Cream (Aldara),EA,1D-6-92,
0013-84-199-L,Mometasone Furoate 0.1% Lotion 30mL (Elomet),EA,1E-1-097,
0015-56-086-D,Charcoal 50g Granules,EA,1E-1-098,
0013-84-070-E,Desonide 0.05% Lotion 2oz (Desowen),BTL,1E-1-099,
0005-51-50X-3,Fucicort Lipid Cream 15g,EA,1E-1-100,
0004-86-008-L,FLAvoxATE 200mg Tablet,EA,1E-2-101,
0004-68-013-J,GliBENclamide 5mg Tablet,EA,1E-2-102,
0000-14-29X-2,Co-Amoxiclav 1G (875/125) Tab,EA,1E-2-103,
0004-24-290-C,CarveDILOL 25mg Tablet,EA,1E-2-104,
0000-24-63X-7,"LeveTIRAcetam 1,000mg Tablet",EA,1E-3-105,
0004-12-007-J,Hyoscine N-Butylbromide 10mg Tablet,EA,1E-3-106,
0004-04-040-H,Betahistine Mesilate 6mg Tablet (Merislon),EA,1E-3-107,
0004-92-030-K,CicloSPORIN 25mg Capsule (Neoral),EA,1E-3-108,
0004-40-052-I,"Lanthanum Carbonate 1,000mg Chew Tablet",EA,1E-4-109,
0004-24-379-F,Rosuvastatin 10mg Tablet,TAB,1E-4-110,
0004-40-028-E,Bumetanide 1mg Tablet (Burinex),EA,1E-4-111,
0004-28-066-W,CloBAZam 10MG TAB (FRISIUM),EA,1E-4-112,
0015-20-007-J,Fe Polymaltose Complex 50mg/mL Drop 30mL,BTL,1E-5-113,
0020-28-002-G,Diclofenac Sodium 12.5mg Suppository,EA,1E-5-114,
0004-68-068-G,Levothyroxine Sodium 25mcg Tablet (Euthyrox),EA,1E-5-115,
0018-84-045-E,Olive Oil 200mL,BTL,1E-5-116,
6706-42-35X-8,Triumeq Tablet 50mg/600mg/300mg,EA,1E-6-117,
0020-97-19X-3,Tolvaptan 15mg Tablet (Samsca),EA,1E-6-118,
0001-52-024-J,Relvar Ellipta 200/25mcg Inh Pwd 30D,EA,1E-6-119,
4278-13-38X-5,Baricitinib 4mg Tablet,EA,1E-6-120,
0000-26-64X-8,Midodrine HCl 5mg Tablet ,EA,2A-1-125,
0004-24-146-W,Flecainide Acetate 100mg Tablet (Tambocor),EA,2A-1-126,
0004-10-090-J,LeTROzole 2.5mg Tablet,EA,2A-1-127,
0004-12-032-K,Mebeverine HCl 135mg Tablet,EA,2A-1-128,
0004-40-026-I,Metolazone 5mg Tablet,EA,2A-2-129,
0045-72-87X-5,Semaglutide (RYBELSUS) 7mg Tablet,EA,2A-2-130,
0004-24-091-L,Enalapril Maleate 20mg Tablet,EA,2A-2-131,
0463-49-68X-9,Iron Hydroxide (Polymaltose) 100mg Capsule,EA,2A-2-132,
0004-68-008-C,GliCLAzide 80mg Tablet,EA,2A-3-133,
0004-56-113-D,"Magnesium T 250mg, Alu Hyd 250mg, Simet 30mg Tab",EA,2A-3-134,
0020-56-001-L,Bisacodyl 10mg Suppository,EA,2A-3-135,
0004-04-062-H,Fexofenadine HCl 180mg Tablet,EA,2A-3-136,
0003-22-67X-4,Itraconazole 100mg Capsule,EA,2A-4-137,
0004-28-388-W,QUEtiapine 100mg Tablet,EA,2A-4-138,
0004-28-278-I,"Levodopa 200mg, Benserazide 50mg Tablet (MAdopar)",EA,2A-4-139,
0000-12-77X-0,"Abacavir 600mg, LamiVUDine 300mg Tablet",EA,2A-4-140,
0007-52-014-L,Glycerin Thymol Co Gargle 100mL,BTL,2A-5-141,
0004-28-381-I,PARoxetine 20mg Tablet,EA,2A-5-142,
0005-84-107-W,Betamethasone Valerate 0.025% Cream 15g,EA,2A-5-143,
0005-84-002-E,Chlorhexidine 1% Cream 15g,EA,2A-5-144,
0000-39-75X-7,Aciclovir 5% Cr 10g,EA,2A-6-146,
0020-68-145-I,Budesonide 2mg/Spray Rectal Foam (Budenofalk),EA,2A-6-147,
4644-37-01X-7,Symbicort 160/4.5mcg RAPIhaler 120D,EA,2A-6-148,
0000-29-26X-1,Pilocarpine HCl 5mg Tab,EA,2B-1-153,
0004-28-104-I,Lithium Carbonate CR 400mg Tablet,EA,2B-1-154,
0004-28-101-D,Tetrabenazine 25mg Tablet,EA,2B-1-155,
0004-56-121-E,MESALAZINE EC 800MG TAB (ASACOL),EA,2B-1-156,
0004-24-029-F,METHYLdopa 250mg Tablet,EA,2B-2-157,
0004-68-047-D,Budesonide 3mg Cap,EA,2B-2-158,
0004-08-208-W,Minocycline 50mg Capsule,EA,2B-2-159,
0004-08-017-E,Ethambutol HCl  400mg Tablet,EA,2B-2-160,
0004-68-020-W,Prednisolone 5mg Tablet,EA,2B-3-161,
0004-68-173-F,Linagliptin 5mg Tablet (Trajenta),EA,2B-3-162,
0004-56-057-F,Sucralfate 1g Tablet,EA,2B-3-163,
0004-28-027-L,Mefenamic Acid 250mg Capsule,EA,2B-3-164,
0004-92-167-F,Melatonin 2mg PR Tablet,EA,2B-4-165,
0004-12-085-D,Nicotine 1mg Lozenges (NICOTINELL) 36s,BOX,2B-4-166,
0004-20-044-J,RivaROXaban 2.5mg Tablet (Xarelto),EA,2B-4-167,
0000-21-17X-0,Etoricoxib 60mg Tablet ,EA,2B-4-168,
0005-84-419-D,"Adapalene, Benzoyl Peroxide Gel (Epiduo) 15g",EA,2B-5-169,
0027-11-59X-3,"Dolutegravir 50mg, LamiVUDine 300mg Tablet (Dovato)",EA,2B-5-170,
0005-84-008-D,"Lidocaine 2.5%, Prilocaine Cream 5g (EmLa)",EA,2B-5-171,
0015-56-030-K,Sodium Phosphate Oral Mixture 45mL (Fleet),BTL,2B-5-172,
0020-68-143-K,Estrogen Conjugated 0.625mg/g Vaginal Cream 14g,EA,2B-6-173,
0015-56-055-F,Simethicone 100mg/mL Emulsion 30mL,BTL,2B-6-174,
0015-08-070-C,Aciclovir 200mg/5ml Susp 120ml,BTL,2B-6-175,
0004-12-088-L,Tizanidine 2mg Tablet,EA,2B-6-176,
0004-84-002-L,Phenazopyridine 100mg Tablet,EA,2C-1-181,
0004-24-018-K,HydrALAzine HCl 50mg Tablet,EA,2C-1-182,
0004-28-145-F,Amisulpride 200mg Tablet,EA,2C-1-183,
0004-04-005-J,Cyproheptadine HCl 4mg Tablet,EA,2C-1-184,
0000-34-40X-0,Valsartan 160mg Tablet,EA,2D-1-193,
0004-08-042-F,RifAMPicin 150mg Capsule,EA,2D-1-194,
0027-14-75X-3,Breztri 160/7.2/5mcg Aerosphere 120D,EA,2D-1-195,
0004-92-056-D,Tacrolimus 1mg Capsule (Prograf),EA,2D-1-196,
0011-69-96X-6,"Naltrexone 8mg, Bupropion 90mg PR Tablet (Contrave)",EA,2D-1-197,
0004-68-007-E,Dexamethasone 500mcg Tablet,EA,2D-2-198,
0004-28-394-E,Sertraline HCl 50mg Tablet,EA,2D-2-199,
0004-24-323-F,Perindopril 4mg Tablet,EA,2D-2-200,
0004-68-164-F,MetFORMIN XR 750mg Tablet (Glucophage XR),EA,2D-3-201,
0004-92-034-C,TrimetAZIDINE 20mg Tablet,EA,2D-3-202,
0004-48-061-L,Montelukast 10mg Tablet,EA,2D-3-203,
0011-35-82X-0,Erdosteine 300mg Capsule,EA,2D-3-204,
0004-40-005-F,HydroCHLOROthiazide 25mg Tablet,EA,2D-4-205,
0004-20-018-I,Pentoxifylline 400mg Tablet,EA,2D-4-206,
0004-24-299-E,Spironolactone 25mg Tablet,EA,2D-4-207,
0004-28-079-D,PiraCETam 400mg Capsule,EA,2D-4-208,
0005-84-120-J,Miconazole 2% Cream 15g,EA,2D-5-209,
0015-56-053-J,Smecta Powder Sachet 3g,EA,2D-5-210,
0007-52-048-F,Chlorhexidine 0.2% Mouth Wash 200mL,BTL,2D-5-211,
0005-84-054-H,HYDrocortisone 1% Cream 15g,EA,2D-5-212,
0099-84-005-I,Silver Nitrate 75% Caustic Strip,EA,2D-6-213,
0013-84-160-D,Selenium Sulfide 2.5% Susp 100Ml,BTL,2D-6-214,
0007-52-030-C,Mometasone Furoate 50mcg Aqueous Nasal Spray 140D,EA,2D-6-215,
0007-52-016-H,Oxymetazoline 0.05% Nasal Solution (10mL/15mL),EA,2D-6-216,
6446-20-84X-7,Nadolol 40mg Tablet,EA,2E-1-221,
0004-28-012-C,ChlorproMAZINE HCl 25mg Tablet,EA,2E-1-222,
0157-69-70X-4,"Sacubitril 24mg, Valsartan 26mg Tab",TAB,2E-1-223,
0000-32-86X-7,Tadalafil 20mg Tablet,EA,2E-1-224,
0004-24-293-K,Nicotinic Acid ER 500mg Tablet (Niaspan),EA,2E-2-226,
0000-20-11X-3,Donepezil HCl 5mg Tablet,EA,2E-2-227,
0004-08-021-C,Isoniazid 100mg Tablet,EA,2E-2-228,
0004-88-028-G,Multivitamin Tablet,EA,2E-3-229,
0004-28-111-L,FluVOXAMine Maleate 50mg Tablet,EA,2E-3-230,
0000-28-23X-0,Oseltamivir Phophate 75mg Capsule,EA,2E-3-232,
0002-09-72X-1,Ivabradine 7.5mg Tablet,EA,2E-4-233,
0004-92-031-I,CicloSPORIN 100mg Capsule (Neoral),EA,2E-4-234,
0005-84-340-G,Fusidic Acid 2% Cr 15G,EA,2E-4-235,
0004-24-087-C,Fenofibrate 100mg Capsule,EA,2E-4-236,
0001-68-017-L,Seretide 25/125mcg Evohaler 120D,EA,2E-5-237,
0015-56-051-C,Gaviscon Liquid 200mL,BTL,2E-5-238,
0007-52-051-F,Co-Phenylcaine Forte Spray 50mL,EA,2E-5-239,
0015-28-099-L,RisperiDONE 1mg/mL Solution 30mL,BTL,2E-5-240,
0008-52-109-E,TobraMYCIN 0.3% Eye Ointment 3.5g (Tobrex),EA,2E-6-241,
0004-24-112-H,NiMOdipine F/C 30mg Tablet (Nimotop),EA,2E-6-242,
0004-08-033-G,Penicillin V 250mg Tablet,EA,2E-6-243,
9978-99-48X-5,Ural Effervescent Oral Powder 4G,EA,2E-6-244,
0004-56-049-E,Mesalazine EC 500mg Tablet (Salofalk),EA,3A-1-249,
0004-68-022-I,Propylthiouracil 50mg Tablet,EA,3A-1-250,
0004-08-189-E,Primaquine Phosphate 15mg Tablet,TAB,3A-1-251,
0020-68-146-H,Estradiol 10mcg Vaginal Tablet,EA,3A-1-252,
0004-24-002-D,CapTOPril 25mg Tablet,EA,3A-2-253,
0004-28-113-H,Sodium Valproate Chrono 500mg Tablet (Epilium),EA,3A-2-254,
0004-08-218-L,Atazanavir 300mg Capsule (Reyataz),EA,3A-2-255,
0004-28-416-J,Primidone 250mg Tablet,EA,3A-2-256,
0004-08-233-D,Ritonavir 100mg Tablet (Norvir),EA,3A-3-257,
0000-20-37X-8,Efavirenz 600mg Tablet,EA,3A-3-258,
8653-60-35X-5,Choline Salicylate Oral Gel 10g,EA,3A-3-259,
0005-12-016-I,Rivastigmine 4.6mg/24H Patch (Exelon),EA,3A-3-260,
0004-28-008-E,LoRAzepam 0.5mg Tablet,EA,3A-4-261,
0000-31-67X-6,Sitagliptin 50mg Tablet,EA,3A-4-262,
0004-08-109-K,SulfaDIAzine 500mg Tablet,EA,3A-4-263,
0010-20-060-H,Ferric Hyd Sucrose Co 100mg/5mL Inj ,EA,3A-4-264,
0001-12-004-D,Salbutamol Sulfate 0.5% Inhaler Solution 10mL,EA,3A-5-265,
0005-84-280-J,Betamethasone Valerate 0.05% Ointment 30g,EA,3A-5-266,
8680-34-31X-4,BriMONidine 0.33% Gel 30g (MIRVASO),EA,3A-5-267,
0004-20-031-C,Eltrombopag 25mg Tablet (Revolade),EA,3A-5-268,
5044-69-36X-7,CloNIDine 25mcg Tablet,EA,3A-6-269,
0007-49-59X-9,Lemborexant 5mg Tablet (DAYVIGO),EA,3A-6-270,
0000-25-29X-5,"Loratadine 5mg,Pseudoephedrine 120mg SR Tablet",EA,3A-6-271,
0004-56-042-H,Orlistat 120mg Capsule (Xenical),EA,3A-6-272,
0004-40-008-K,Probenecid 500mg Tablet,EA,3B-1-277,
0004-24-039-C,Propranolol HCl 40mg Tablet,EA,3B-1-278,
0004-12-017-G,Propantheline Bromide 15mg Tablet,EA,3B-1-279,
0004-08-112-K,Ribavirin 200mg Capsule/Tablet,EA,3B-1-280,
0004-68-002-D,Carbimazole 5mg Tablet,EA,3B-2-281,
0000-30-69X-0,Risedronate Sod 35mg Tab,EA,3B-2-282,
0004-08-013-W,Pyrimethamine 25mg Tablet,EA,3B-2-283,
0004-68-125-J,Levothyroxine Sodium 50mcg Tablet (Euthyrox),EA,3B-2-284,
0004-24-316-D,EpLeRENone 50mg Tablet,EA,3B-3-285,
0004-08-043-D,RifAMPicin 300mg Capsule,EA,3B-3-286,
0004-20-008-L,Tranexamic Acid 500mg Tablet (Cyklokapron),EA,3B-3-287,
0004-24-058-J,Lisinopril 10mg Tablet,EA,3B-3-288,
0004-88-027-I,Renal Vitamin Tablet,EA,3B-4-289,
0004-92-184-G,CicloSPORIN 100mg Capsule (Deximune),EA,3B-4-290,
0000-27-13X-9,Mycophenolate Mofetil 250mg Capsule ,EA,3B-4-291,
0004-88-014-G,Vitamin B Complex Tablet,EA,3B-4-292,
0015-28-009-J,Paracetamol 120mg/5mL Suspension 100mL,BTL,3B-5-293,
0015-28-028-F,Phenytoin 125mg/5mL Suspension,BTL,3B-5-294,
0015-56-045-I,"Aluminium Hydroxide, Magnesium Trisilicate ,Simethicone Mixture 200mL",BTL,3B-5-295,
0005-84-184-F,Adapalene 0.1% Gel 30g (Differin),EA,3B-5-296,
0005-84-041-F,Clobetasol Propionate 0.05% Cream 15g,EA,3B-6-297,
0000-13-14X-0,Acitretin 10mg Capsule,EA,3B-6-298,
0015-08-004-J,CefALExin 125mg/5mL Suspension 60mL,BTL,3B-6-299,
0020-84-019-G,HYDrocortisone Acetate 10% Rectal Foam 15g,EA,3B-6-300,
0004-88-022-H,Alfacalcidol 1mcg Capsule/Tablet,EA,3C-1-305,
0004-68-070-I,Desmopressin Acetate 0.1mg Tablet (Minirin),EA,3C-1-306,
0004-24-326-C,Atorvastatin 40mg Tablet,EA,3C-1-307,
0004-28-345-I,DULoxetine HCl 30mg Capsule (Cymbalta),EA,3C-1-308,
0004-68-166-D,Dienogest 2mg Tab,EA,3D-1-317,
0004-08-039-F,Pyrazinamide 500mg Tablet,EA,3D-1-318,
0004-28-138-C,Selegiline 5mg Tablet,EA,3D-1-319,
0004-28-021-W,Haloperidol 1.5mg Tablet,EA,3D-1-320,
0004-28-120-K,CloZAPine 100mg Tablet,EA,3D-2-321,
0004-24-024-E,Isosorbide DInitrate 10mg Tablet,EA,3D-2-322,
0004-24-269-H,Sotalol HCl 80mg Tablet,EA,3D-2-323,
0004-08-022-L,Isoniazid 300mg Tablet,EA,3D-2-324,
0002-12-38X-8,Mexiletine HCl 100mg Capsule,EA,3D-3-325,
0000-13-59X-2,Allopurinol 300mg Tablet,EA,3D-3-326,
0004-52-005-L,Benzydamine HCl 3mg Lozenges,EA,3D-3-327,
0004-28-428-G,Memantine HCl 10mg Tablet,EA,3D-3-328,
0000-24-66X-4,LeveTIRAcetam 500mg Tablet,EA,3D-4-329,
7616-42-92X-9,"Sacubitril 49mg, Valsartan 51mg Tab",TAB,3D-4-330,
0004-28-413-W,OLANzapine 5mg Orodispersible Tablet,EA,3D-4-331,
0004-68-196-L,Empagliflozin 25mg Tablet (Jardiance),EA,3D-4-332,
0015-04-033-L,DiphenhydrAMINE HCl 10mg/5mL Syrup 200mL,BTL,3D-5-333,
0020-40-001-D,Sodium Polystyrene Sulfonate 30g/120mL Enema,EA,3D-5-334,
0005-84-108-K,"Betamethasone 0.025%, Clioquinol 3% Cream 15g",EA,3D-5-335,
0015-56-019-J,Magnesium Carbonate Mixture BP 200mL,BTL,3D-5-336,
0015-08-033-C,Clarithromycin 125mg/5mL Suspension 60mL,BTL,3D-6-337,
0013-84-240-W,Permethrin 5% Lotion 30mL,EA,3D-6-338,
0015-48-002-L,Bromhexine HCl 4mg/5mL Elixir (90mL/100mL),BTL,3D-6-339,
0004-08-213-F,"Artemether 20mg,Lumefentrine 120mg Tablet",EA,3D-6-340,
0004-28-002-F,Amitriptyline HCl 25mg Tablet,EA,3E-1-345,
0004-08-044-W,SulfaSALAzine EN 500mg Tablet,EA,3E-1-346,
0045-73-75X-1,Semaglutide (RYBELSUS) 14mg Tablet,EA,3E-1-347,
